AppName,RelPath,File,SourceCategory,SourceKind,Line,Func,QueryHash,ObjectName,DbName,SchemaName,BaseName,IsCrossDb,IsLinkedServer,Role,DmlKind,IsWrite,IsObjectNameDynamic,IsPseudoObject,PseudoKind
dotnet-sample,clsAPIServiceInvestmentObligasi.cs,clsAPIServiceInvestmentObligasi.cs,code,csharp,427,InquiryCurrentWkDate,02260073ed92d2b24c0163cf8d30da01c129171e,dbo.control_table,,dbo,control_table,false,false,source,SELECT,false,false,false,
dotnet-sample,clsAPIServiceNTI.cs,clsAPIServiceNTI.cs,code,csharp,1398,CreateTreasuryCustomer,f3f9e17707d8bf28136796920dbc59dfb85682bb,dbo.TRSListChannelBonds_TR,,dbo,TRSListChannelBonds_TR,false,false,source,SELECT,false,false,false,
dotnet-sample,clsAPIServiceNTI.cs,clsAPIServiceNTI.cs,code,csharp,1398,CreateTreasuryCustomer,f3f9e17707d8bf28136796920dbc59dfb85682bb,dbo.TreasuryCustomer_TM,,dbo,TreasuryCustomer_TM,false,false,target,INSERT,true,false,false,
dotnet-sample,clsAPIServiceNTI.cs,clsAPIServiceNTI.cs,code,csharp,1398,CreateTreasuryCustomer,f3f9e17707d8bf28136796920dbc59dfb85682bb,dbo.control_table,,dbo,control_table,false,false,source,SELECT,false,false,false,
dotnet-sample,clsAPIServiceNTI.cs,clsAPIServiceNTI.cs,code,csharp,1398,CreateTreasuryCustomer,f3f9e17707d8bf28136796920dbc59dfb85682bb,dbo.edBy,,dbo,edBy,false,false,target,INSERT,true,false,false,
dotnet-sample,clsAPIServiceNTI.cs,clsAPIServiceNTI.cs,code,csharp,1398,CreateTreasuryCustomer,f3f9e17707d8bf28136796920dbc59dfb85682bb,dbo.edDate,,dbo,edDate,false,false,target,INSERT,true,false,false,
dotnet-sample,clsAPIServiceNTI.cs,clsAPIServiceNTI.cs,code,csharp,1398,CreateTreasuryCustomer,f3f9e17707d8bf28136796920dbc59dfb85682bb,dbo.xDbg_trs_InsertTreasuryCustomer_TM,,dbo,xDbg_trs_InsertTreasuryCustomer_TM,false,false,target,INSERT,true,false,false,
dotnet-sample,clsAPIServiceNTI.cs,clsAPIServiceNTI.cs,code,csharp,142,clsAPIServiceNTI.cs@L142,676086d9b153ab16a1ab69a3c58b9798ad0bfa70,dbo.TreasuryCustomer_TM,,dbo,TreasuryCustomer_TM,false,false,source,SELECT,false,false,false,
dotnet-sample,clsAPIServiceNTI.cs,clsAPIServiceNTI.cs,code,csharp,1529,GetOnlineGeneralParam,0e1c7aad529d92144d32d98bc32eeff76790821d,dbo.ORIOnlineGeneralParam_TR,,dbo,ORIOnlineGeneralParam_TR,false,false,source,SELECT,false,false,false,
dotnet-sample,clsAPIServiceNTI.cs,clsAPIServiceNTI.cs,code,csharp,2215,GetDataCore,43db87363fb8598c67b93854370834ce724f6a3d,dbo.TRSParameter_TR,,dbo,TRSParameter_TR,false,false,source,SELECT,false,false,false,
dotnet-sample,clsAPIServiceNTI.cs,clsAPIServiceNTI.cs,code,csharp,2295,GetChannelBonds,9cf9bb63e919b2905bf1aeafc4c4b58e1e68678b,dbo.<dynamic-sql>,,dbo,<dynamic-sql>,false,false,source,SELECT,false,false,true,dynamic-sql
dotnet-sample,clsAPIServiceNTI.cs,clsAPIServiceNTI.cs,code,csharp,2295,GetChannelBonds,9cf9bb63e919b2905bf1aeafc4c4b58e1e68678b,dbo.TRSListChannelBonds_TR,,dbo,TRSListChannelBonds_TR,false,false,source,SELECT,false,false,false,
dotnet-sample,clsAPIServiceNTI.cs,clsAPIServiceNTI.cs,code,csharp,2503,SQLSPParameter,829e30d2ed137a41defc3a465e6c3746bc753ccf,dbo.<dynamic-sql>,,dbo,<dynamic-sql>,false,false,source,UNKNOWN,false,false,true,dynamic-sql
dotnet-sample,clsAPIServiceNTI.cs,clsAPIServiceNTI.cs,code,csharp,2557,GetTreasuryParameter,f65f0f788e231887b697436bff56297d2783357e,dbo.TRSParameter_TR,,dbo,TRSParameter_TR,false,false,source,SELECT,false,false,false,
dotnet-sample,clsAPIServiceNTI.cs,clsAPIServiceNTI.cs,code,csharp,2739,SendCustomerToMurex,829e30d2ed137a41defc3a465e6c3746bc753ccf,dbo.<dynamic-sql>,,dbo,<dynamic-sql>,false,false,source,UNKNOWN,false,false,true,dynamic-sql
