AppName,RelPath,File,Func,QueryHash,FullObjectName,DbName,SchemaName,BaseName,Role,DmlKind,IsWrite,IsCrossDb,IsPseudoObject,PseudoKind,SourceCategory,SourceKind,Line,IsLinkedServer,IsObjectNameDynamic
golang-sample,go1/query.go,query.go,go1/query.go@L10,ece0a8fc2aef9581217c832e25c532b5aed7327c,dbo.confomk006_a,,dbo,confomk006_a,target,DELETE,true,false,false,,code,go,10,false,false
golang-sample,go1/query.go,query.go,go1/query.go@L106,8529b988ed270d33baf8655babb31d52dbff9063,SQL_REPLICATE.dbo.mk006_a,SQL_REPLICATE,dbo,mk006_a,target,INSERT,true,true,false,,code,go,106,false,false
golang-sample,go1/query.go,query.go,go1/query.go@L124,69e0b26fd420b6bbf9fca74e15f1f61c24e0dd97,SQL_REPLICATE.dbo.mk005_a,SQL_REPLICATE,dbo,mk005_a,target,INSERT,true,true,false,,code,go,124,false,false
golang-sample,go1/query.go,query.go,go1/query.go@L13,fd9583c758cfc99a8e13208a30a2d94510709bcf,dbo.<dynamic-object>,,dbo,<dynamic-object>,source,SELECT,false,false,true,dynamic-object,code,go,13,false,true
golang-sample,go1/query.go,query.go,go1/query.go@L140,7f8c1bcbcafd8058df3c7325886d646aab09a30e,dbo.mk006_a,,dbo,mk006_a,source,SELECT,false,false,false,,code,go,140,false,false
golang-sample,go1/query.go,query.go,go1/query.go@L153,02a5a6a3cb7ccdd2c5b0af63661205fb9c9c1949,dbo.mk006_a_actuate,,dbo,mk006_a_actuate,target,DELETE,true,false,false,,code,go,153,false,false
golang-sample,go1/query.go,query.go,go1/query.go@L160,4fef1d702248e13c3ae0a6184db4516f47931f63,dbo.<dynamic-object>,,dbo,<dynamic-object>,source,SELECT,false,false,true,dynamic-object,code,go,160,false,true
golang-sample,go1/query.go,query.go,go1/query.go@L25,0989923441770dc59988eda8b3a759b568d62687,dbo.<dynamic-object>,,dbo,<dynamic-object>,source,SELECT,false,false,true,dynamic-object,code,go,25,false,true
golang-sample,go1/query.go,query.go,go1/query.go@L36,c93feaf2a4b54eb5038e371932f5075bcdcf161b,SQL_REPLICATE.dbo.confomk006_a,SQL_REPLICATE,dbo,confomk006_a,target,INSERT,true,true,false,,code,go,36,false,false
golang-sample,go1/query.go,query.go,go1/query.go@L58,5d4c3fc3bafa513bd8b3d94f81c70289ef3cb3fc,SQL_REPLICATE.dbo.confomk005_a,SQL_REPLICATE,dbo,confomk005_a,target,INSERT,true,true,false,,code,go,58,false,false
golang-sample,go1/query.go,query.go,go1/query.go@L6,2b670ce0899d69a442ab570b63ab71cd8d786174,dbo.OBOXGetPrevDate_v,,dbo,OBOXGetPrevDate_v,source,SELECT,false,false,false,,code,go,6,false,false
golang-sample,go1/query.go,query.go,go1/query.go@L8,05b7f6bc6de9c94111ddc9b64163080303352a42,dbo.confomk005_a,,dbo,confomk005_a,target,DELETE,true,false,false,,code,go,8,false,false
golang-sample,go1/query.go,query.go,go1/query.go@L80,5991f767c6a54d39a62b8afd7af3bdd059d33d52,dbo.mk005_a,,dbo,mk005_a,target,DELETE,true,false,false,,code,go,80,false,false
golang-sample,go1/query.go,query.go,go1/query.go@L82,3af9c6394a39d7e394c32777071366cb64d41543,dbo.mk006_a,,dbo,mk006_a,target,DELETE,true,false,false,,code,go,82,false,false
golang-sample,go1/query.go,query.go,go1/query.go@L85,7bb6e2898075515c9ed8e60b58295d157e67ca88,dbo.<dynamic-object>,,dbo,<dynamic-object>,source,SELECT,false,false,true,dynamic-object,code,go,85,false,true
golang-sample,go1/query.go,query.go,go1/query.go@L94,2776a233210d0baa64580f27ed4b6a2b80f0f216,dbo.<dynamic-object>,,dbo,<dynamic-object>,source,SELECT,false,false,true,dynamic-object,code,go,94,false,true
golang-sample,go1/source.go,source.go,ExecSPMurexMK,829e30d2ed137a41defc3a465e6c3746bc753ccf,dbo.<dynamic-sql>,,dbo,<dynamic-sql>,source,UNKNOWN,false,false,true,dynamic-sql,code,go,27,false,false
golang-sample,go1/source.go,source.go,ExecuteSPMurexConfoMK,829e30d2ed137a41defc3a465e6c3746bc753ccf,dbo.<dynamic-sql>,,dbo,<dynamic-sql>,source,UNKNOWN,false,false,true,dynamic-sql,code,go,44,false,false
golang-sample,go1/source.go,source.go,GetMK005A,829e30d2ed137a41defc3a465e6c3746bc753ccf,dbo.<dynamic-sql>,,dbo,<dynamic-sql>,source,UNKNOWN,false,false,true,dynamic-sql,code,go,96,false,false
golang-sample,go1/source.go,source.go,GetMK005AConfo,829e30d2ed137a41defc3a465e6c3746bc753ccf,dbo.<dynamic-sql>,,dbo,<dynamic-sql>,source,UNKNOWN,false,false,true,dynamic-sql,code,go,85,false,false
golang-sample,go1/source.go,source.go,GetMK006A,829e30d2ed137a41defc3a465e6c3746bc753ccf,dbo.<dynamic-sql>,,dbo,<dynamic-sql>,source,UNKNOWN,false,false,true,dynamic-sql,code,go,64,false,false
golang-sample,go1/source.go,source.go,GetMK006AConfo,829e30d2ed137a41defc3a465e6c3746bc753ccf,dbo.<dynamic-sql>,,dbo,<dynamic-sql>,source,UNKNOWN,false,false,true,dynamic-sql,code,go,54,false,false
golang-sample,go1/source.go,source.go,GetMurexAvgPrice,829e30d2ed137a41defc3a465e6c3746bc753ccf,dbo.<dynamic-sql>,,dbo,<dynamic-sql>,source,UNKNOWN,false,false,true,dynamic-sql,code,go,74,false,false
golang-sample,go1/source.go,source.go,ValidateMKData,cfac7247a5fa57eb91826f292a7b1996e62814a7,dbo.MKValidateData,,dbo,MKValidateData,exec,EXEC,true,false,false,,code,go,115,false,true
golang-sample,go2/impl.go,impl.go,GetBIRates,8ff9f2c779e0acf909f7c4da8ccbd6b65f5f3308,dbo.SIBSCurrencyTable_TM,,dbo,SIBSCurrencyTable_TM,source,SELECT,false,false,false,,code,go,37,false,false
golang-sample,go2/impl.go,impl.go,GetCFCOUN,e51398b2f9391c84e50b1d6e4bb770e2c99ce9dc,dbo.CFMAST,,dbo,CFMAST,source,SELECT,false,false,false,,code,go,33,false,false
golang-sample,go2/impl.go,impl.go,GetCurrWorkingDate,ec48f6a85bebfa68697cbf359591dc7236012989,dbo.control_table,,dbo,control_table,source,SELECT,false,false,false,,code,go,29,false,false
golang-sample,go2/impl.go,impl.go,GetValasMappingParameter,e673f0a9d52763876f737e32dede0c55ec92749e,dbo.valas_mapping_parameter,,dbo,valas_mapping_parameter,source,SELECT,false,false,false,,code,go,55,false,false
golang-sample,go2/impl.go,impl.go,GetVlsRate,5844ac6a2912f2a4fb70ab7e121be2a3a291dc34,dbo.VLSRate_TM,,dbo,VLSRate_TM,source,SELECT,false,false,false,,code,go,72,false,false
golang-sample,go2/impl.go,impl.go,GetVlsTransaction,8f14f4ac358dcccf4763c1b2a94b4787ebd724dd,dbo.VLSTransactions_TR,,dbo,VLSTransactions_TR,source,SELECT,false,false,false,,code,go,90,false,false
golang-sample,go2/impl.go,impl.go,GetVlsTransaction,15812541241712f68d875099dfea8528a3b6d2d9,dbo.VLSTransactionsToday_TR,,dbo,VLSTransactionsToday_TR,source,SELECT,false,false,false,,code,go,100,false,false
golang-sample,go2/query.go,query.go,TRIM,8ff9f2c779e0acf909f7c4da8ccbd6b65f5f3308,dbo.SIBSCurrencyTable_TM,,dbo,SIBSCurrencyTable_TM,source,SELECT,false,false,false,,code,go,17,false,false
golang-sample,go2/query.go,query.go,TRIM,8f14f4ac358dcccf4763c1b2a94b4787ebd724dd,dbo.VLSTransactions_TR,,dbo,VLSTransactions_TR,source,SELECT,false,false,false,,code,go,23,false,false
golang-sample,go2/query.go,query.go,go2/query.go@L11,e51398b2f9391c84e50b1d6e4bb770e2c99ce9dc,dbo.CFMAST,,dbo,CFMAST,source,SELECT,false,false,false,,code,go,11,false,false
