AppName,RelPath,Func,LineStart,LineEnd,TotalQueries,TotalSelect,TotalInsert,TotalUpdate,TotalDelete,TotalTruncate,TotalExec,TotalWrite,TotalDynamic,TotalDynamicSql,TotalDynamicObject,DynamicCount,DynamicSignatures,DynamicReason,TotalObjects,TopObjects,ObjectsUsed,HasCrossDb,DbList,TopObjectsShort,DynamicPseudoKinds,DynamicExampleSignatures
golang-sample,go1/query.go,go1/query.go@L157,157,157,1,1,0,0,0,0,0,0,1,0,1,1,go1/query.go||go@157 x1 (example=4fef1d702248e13c3ae0a6184db4516f47931f63),dynamic object name; template placeholder,1,"[P] <dynamic-sql>(read); <dynamic-object>(n=1, line=157, usage=SELECT)","[P] <dynamic-sql>(exec/write/read); <dynamic-object>(n=1, line=157, usage=SELECT)",false,,"[P] <dynamic-sql>(read); <dynamic-object>(n=1, line=157, usage=SELECT)",dynamic-object(1),Line157:SELECT <dynamic-object>
golang-sample,go1/query.go,go1/query.go@L22,22,22,1,1,0,0,0,0,0,0,1,0,1,1,go1/query.go||go@22 x1 (example=0989923441770dc59988eda8b3a759b568d62687),dynamic object name; template placeholder,1,"[P] <dynamic-sql>(read); <dynamic-object>(n=1, line=22, usage=SELECT)","[P] <dynamic-sql>(exec/write/read); <dynamic-object>(n=1, line=22, usage=SELECT)",false,,"[P] <dynamic-sql>(read); <dynamic-object>(n=1, line=22, usage=SELECT)",dynamic-object(1),Line22:SELECT <dynamic-object>
golang-sample,go1/query.go,go1/query.go@L3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,,,1,OBOXGetPrevDate_v(read),OBOXGetPrevDate_v(exec/write/read),false,,OBOXGetPrevDate_v(read),,
golang-sample,go1/query.go,go1/query.go@L33,33,33,1,0,1,0,0,0,0,1,0,0,0,0,,,1,confomk006_a(write),confomk006_a(exec/write/read),true,SQL_REPLICATE,confomk006_a(write),,
golang-sample,go1/query.go,go1/query.go@L5,5,5,1,0,0,0,1,0,0,1,0,0,0,0,,,1,confomk005_a(write),confomk005_a(exec/write/read),false,,confomk005_a(write),,
golang-sample,go1/query.go,go1/query.go@L55,55,55,1,0,1,0,0,0,0,1,0,0,0,0,,,1,confomk005_a(write),confomk005_a(exec/write/read),true,SQL_REPLICATE,confomk005_a(write),,
golang-sample,go1/query.go,go1/query.go@L7,7,7,1,0,0,0,1,0,0,1,0,0,0,0,,,1,confomk006_a(write),confomk006_a(exec/write/read),false,,confomk006_a(write),,
golang-sample,go1/query.go,go1/query.go@L77,77,77,1,0,0,0,1,0,0,1,0,0,0,0,,,1,mk005_a(write),mk005_a(exec/write/read),false,,mk005_a(write),,
golang-sample,go1/query.go,go1/query.go@L79,79,79,1,0,0,0,1,0,0,1,0,0,0,0,,,1,mk006_a(write),mk006_a(exec/write/read),false,,mk006_a(write),,
golang-sample,go1/query.go,go1/query.go@L82,82,82,1,1,0,0,0,0,0,0,1,0,1,1,go1/query.go||go@82 x1 (example=7bb6e2898075515c9ed8e60b58295d157e67ca88),dynamic object name; template placeholder,1,"[P] <dynamic-sql>(read); <dynamic-object>(n=1, line=82, usage=SELECT)","[P] <dynamic-sql>(exec/write/read); <dynamic-object>(n=1, line=82, usage=SELECT)",false,,"[P] <dynamic-sql>(read); <dynamic-object>(n=1, line=82, usage=SELECT)",dynamic-object(1),Line82:SELECT <dynamic-object>
golang-sample,go1/query.go,go1/query.go@L91,91,91,1,1,0,0,0,0,0,0,1,0,1,1,go1/query.go||go@91 x1 (example=2776a233210d0baa64580f27ed4b6a2b80f0f216),dynamic object name; template placeholder,1,"[P] <dynamic-sql>(read); <dynamic-object>(n=1, line=91, usage=SELECT)","[P] <dynamic-sql>(exec/write/read); <dynamic-object>(n=1, line=91, usage=SELECT)",false,,"[P] <dynamic-sql>(read); <dynamic-object>(n=1, line=91, usage=SELECT)",dynamic-object(1),Line91:SELECT <dynamic-object>
golang-sample,go1/source.go,ExecSPMurexMK,24,24,1,0,0,0,0,0,0,0,1,1,0,1,go1/source.go|ExecSPMurexMK|go@24 x1 (example=829e30d2ed137a41defc3a465e6c3746bc753ccf),dynamic sql,1,"[P] <dynamic-sql>(read); <dynamic-sql>(n=1, line=24, usage=UNKNOWN)","[P] <dynamic-sql>(exec/write/read); <dynamic-sql>(n=1, line=24, usage=UNKNOWN)",false,,"[P] <dynamic-sql>(read); <dynamic-sql>(n=1, line=24, usage=UNKNOWN)",dynamic-sql(1),Line24:EXEC <dynamic-sql>
