AppName,RelPath,File,TotalFunctionsWithDB,TotalQueries,TotalObjects,TotalExec,TotalWrite,TotalDynamic,TotalDynamicSql,TotalDynamicObject,DistinctObjectsUsed,HasDbAccess,HasCrossDb,DbList,TopObjectsRead,TopObjectsWrite,TopObjectsExec
dotnet-sample,clsAntasenaService.cs,clsAntasenaService.cs,2,3,12,3,0,3,0,3,4,true,false,dbo,VLSResultFinalToday_TT(3); VLSSummaryToday_TM(3); VLSTransactionsToday_TR(3),[P] <dynamic-object>(3),
dotnet-sample,clsCustomer.cs,clsCustomer.cs,4,8,12,8,8,8,4,4,6,true,false,,,[P] <dynamic-object>(4); [P] <dynamic-sql>(4); ProCIFP3GetCurrentDate(1); ProCIFParseParmBasicInfDtls(1); ProCIFParseParmBasicInfV2Maint(1); +1 others,[P] <dynamic-object>(4); [P] <dynamic-sql>(4); ProCIFP3GetCurrentDate(1); ProCIFParseParmBasicInfDtls(1); ProCIFParseParmBasicInfV2Maint(1); +1 others
dotnet-sample,clsDataAccess1.cs,clsDataAccess1.cs,12,14,14,14,14,0,0,0,14,true,false,,,SBNSchedCreateLiveLog(1); SBNSchedGetDataStatusPemesanan(1); SBNSchedGetGeneralParam(1); SBNSchedLogORIPaymentDirect(1); SBNSchedPopulateNotif(1); +9 others,SBNSchedCreateLiveLog(1); SBNSchedGetDataStatusPemesanan(1); SBNSchedGetGeneralParam(1); SBNSchedLogORIPaymentDirect(1); SBNSchedPopulateNotif(1); +9 others
dotnet-sample,clsDataAccess2.cs,clsDataAccess2.cs,23,44,49,44,44,3,0,3,43,true,false,,,[P] <dynamic-object>(3); TRSObliGetNotifAPIParam(3); [P] <dynamic-sql>(2); TRSRetailCalculateFee(2); MXINTFCPYInLog(1); +38 others,TRSObliGetNotifAPIParam(3); [P] <dynamic-sql>(2); TRSRetailCalculateFee(2); [P] <dynamic-object>(1); MXINTFCPYInLog(1); +38 others
dotnet-sample,clsDataAccessReksa.cs,clsDataAccessReksa.cs,2,4,4,4,4,0,0,0,4,true,false,,,ReksaEBWInquiryRDBInsurance(1); ReksaRMMGetNotifAPIParam(1); ReksaSaveNotifLog(1); ReksaSchedGetNotifAPIParam(1),ReksaEBWInquiryRDBInsurance(1); ReksaRMMGetNotifAPIParam(1); ReksaSaveNotifLog(1); ReksaSchedGetNotifAPIParam(1)
dotnet-sample,clsDatabase.cs,clsDatabase.cs,191,205,374,205,205,163,1,162,190,true,false,,,[P] <dynamic-object>(162); TRSValidateUploadParameterFLD(9); [P] <dynamic-sql>(8); trs_ListColumnsTable(4); TRSProcessInsertSecurityTransactionCommit(3); +185 others,[P] <dynamic-object>(155); TRSValidateUploadParameterFLD(9); [P] <dynamic-sql>(8); trs_ListColumnsTable(4); TRSProcessInsertSecurityTransactionCommit(3); +185 others
dotnet-sample,clsLelangDatabase.cs,clsLelangDatabase.cs,20,37,37,37,37,0,0,0,29,true,false,,,SecurityLelangTrxSubmit(3); SecurityLelangTrxSubmitReplaceDetail(2); SecurityLelangUpdateResultProduct(2); SecurityLelangUpdateResultTA(2); trs_ListTreasuryCustomer_TM_Original(2); +24 others,SecurityLelangTrxSubmit(3); SecurityLelangTrxSubmitReplaceDetail(2); SecurityLelangUpdateResultProduct(2); SecurityLelangUpdateResultTA(2); trs_ListTreasuryCustomer_TM_Original(2); +24 others
dotnet-sample,clsRepositoryAuthorizeBooking.cs,clsRepositoryAuthorizeBooking.cs,13,13,13,0,0,13,13,0,1,true,false,,[P] <dynamic-sql>(13),,
dotnet-sample,clsRepositoryCancelTrxIBMB.cs,clsRepositoryCancelTrxIBMB.cs,4,4,4,0,0,4,4,0,1,true,false,,[P] <dynamic-sql>(4),,
dotnet-sample,clsRepositoryDeleteBooking.cs,clsRepositoryDeleteBooking.cs,4,4,4,0,0,4,4,0,1,true,false,,[P] <dynamic-sql>(4),,
dotnet-sample,clsTransaksi.cs,clsTransaksi.cs,1,1,1,1,1,0,0,0,1,true,false,,,ReksaRefreshTransactionNew(1),ReksaRefreshTransactionNew(1)
dotnet-sample,clsValasService.cs,clsValasService.cs,26,96,204,95,0,55,0,55,11,true,false,dbo,TDeal(5); VLSSummary_TM(3); VLSTransactions_TR(3); [P] <dynamic-object>(1); VLSTransactions_TR_BackupONFX276(1),[P] <dynamic-object>(95); openxml(39); sp_xml_preparedocument(39); VLSResultFinal_TH(3); VLSSummary_TH(3); +4 others,openxml(39); sp_xml_preparedocument(39)
dotnet-sample,frmMasterNasabah.cs,frmMasterNasabah.cs,24,46,66,46,46,40,20,20,27,true,false,,,[P] <dynamic-object>(20); [P] <dynamic-sql>(20); ReksaCekExpRiskProfile(2); ReksaCekExpRiskProfileParam(1); ReksaFlagClientId(1); +22 others,[P] <dynamic-object>(20); [P] <dynamic-sql>(20); ReksaCekExpRiskProfile(2); ReksaCekExpRiskProfileParam(1); ReksaFlagClientId(1); +22 others
dotnet-sample,frmObligasiTransaksiSuratBerharga.cs,frmObligasiTransaksiSuratBerharga.cs,13,27,37,27,27,18,9,9,15,true,false,,,[P] <dynamic-sql>(10); [P] <dynamic-object>(9); TRSPopulateSourceOfFund(4); TRSPopulateDataTransaksiSuratBerharga(3); DCRPopulateSumberDanaStructuredProduct(1); +10 others,[P] <dynamic-sql>(10); [P] <dynamic-object>(8); TRSPopulateSourceOfFund(4); TRSPopulateDataTransaksiSuratBerharga(3); DCRPopulateSumberDanaStructuredProduct(1); +10 others
dotnet-sample,frmObligasiUpdateStatusTRX.cs,frmObligasiUpdateStatusTRX.cs,10,34,76,34,34,33,8,25,10,true,false,,,[P] <dynamic-object>(25); [P] <dynamic-sql>(25); trs_UpdateStatusSecurityTransactionAfterMurex(17); TRSGetEmailForPushBack(2); TRSGetEmailLookUp(2); +5 others,[P] <dynamic-sql>(25); trs_UpdateStatusSecurityTransactionAfterMurex(17); [P] <dynamic-object>(8); TRSGetEmailForPushBack(2); TRSGetEmailLookUp(2); +5 others
dotnet-sample,frmTransactionNew.cs,frmTransactionNew.cs,31,54,67,54,54,26,13,13,33,true,false,,,[P] <dynamic-object>(13); [P] <dynamic-sql>(13); ReksaManualUpdateRiskProfile(6); ReksaSrcACCTNO_SYR(6); ReksaCalcBookingFee(1); +28 others,[P] <dynamic-object>(13); [P] <dynamic-sql>(13); ReksaManualUpdateRiskProfile(6); ReksaSrcACCTNO_SYR(6); ReksaCalcBookingFee(1); +28 others
dotnet-sample,mKonfirmasi.cs,mKonfirmasi.cs,6,12,18,12,12,12,6,6,8,true,false,,,[P] <dynamic-object>(6); [P] <dynamic-sql>(6); ReksaKonfirmasiBooking(1); ReksaKonfirmasiRDB(1); ReksaKonfirmasiRedemption(1); +3 others,[P] <dynamic-object>(6); [P] <dynamic-sql>(6); ReksaKonfirmasiBooking(1); ReksaKonfirmasiRDB(1); ReksaKonfirmasiRedemption(1); +3 others
