AppName,RelPath,Func,LineStart,LineEnd,TotalQueries,TotalSelect,TotalInsert,TotalUpdate,TotalDelete,TotalTruncate,TotalExec,TotalWrite,TotalDynamic,DynamicRawCount,TotalDynamicSql,TotalDynamicObject,DynamicSqlCount,DynamicObjectCount,DynamicCount,DynamicSignatures,DynamicReason,TotalObjects,TotalObjectsRead,TotalObjectsWrite,TotalObjectsExec,TopObjectsRead,TopObjectsWrite,TopObjectsExec,ObjectsUsed,HasCrossDb,DbList,DynamicPseudoKinds,DynamicExampleSignatures
dotnet-sample,ApprovalParamGLModel.cs,SaveApprovalParamGL,51,51,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,ApprovalParamGLModel.cs|SaveApprovalParamGL|ExecProc@51 x2 (example=829e30d2ed137a41defc3a465e6c3746bc753ccf),dynamic sql x2,1,0,1,1,,[P] <dynamic-sql>(2),[P] <dynamic-sql>(2),[P] <dynamic-sql>(write=2/exec=2),false,,dynamic-object(1); dynamic-sql(1),ApprovalParamGLModel.cs|SaveApprovalParamGL|ExecProc@51 x2
dotnet-sample,ApprovalSIDModel.cs,ApproveSID,57,57,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,ApprovalSIDModel.cs|ApproveSID|ExecProc@57 x2 (example=64854a3c5d92df3c24c6da0a94b7493197ed3c54),dynamic object name x2; dynamic sql x2,2,0,2,2,,[P] <dynamic-object>(1); TRSApproveSID(1),[P] <dynamic-object>(1); TRSApproveSID(1),[P] <dynamic-object>(write=1/exec=1); TRSApproveSID(write=1/exec=1),false,,dynamic-object(1); dynamic-sql(1),ApprovalSIDModel.cs|ApproveSID|ExecProc@57 x2
dotnet-sample,ApprovalSIDModel.cs,InsertLogOneNotif,99,99,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,ApprovalSIDModel.cs|InsertLogOneNotif|ExecProc@99 x2 (example=829e30d2ed137a41defc3a465e6c3746bc753ccf),dynamic sql x2,1,0,1,1,,[P] <dynamic-sql>(4),[P] <dynamic-sql>(4),[P] <dynamic-sql>(write=4/exec=4),false,,dynamic-object(1); dynamic-sql(1),ApprovalSIDModel.cs|InsertLogOneNotif|ExecProc@99 x2
dotnet-sample,ApprovalSIDModel.cs,PopulateApprovalSID,29,29,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,ApprovalSIDModel.cs|PopulateApprovalSID|ExecProc@29 x2 (example=5bf7ffd53a472a94fe4f2497cc5ed6d7378bd50f),dynamic object name x2; dynamic sql x2,2,0,2,2,,[P] <dynamic-object>(1); TRSPopulateApprovalSID(1),[P] <dynamic-object>(1); TRSPopulateApprovalSID(1),[P] <dynamic-object>(write=1/exec=1); TRSPopulateApprovalSID(write=1/exec=1),false,,dynamic-object(1); dynamic-sql(1),ApprovalSIDModel.cs|PopulateApprovalSID|ExecProc@29 x2
dotnet-sample,ApprovalSIDModel.cs,UpdateStatusNotifNTI,81,81,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,ApprovalSIDModel.cs|UpdateStatusNotifNTI|ExecProc@81 x2 (example=829e30d2ed137a41defc3a465e6c3746bc753ccf),dynamic sql x2,1,0,1,1,,[P] <dynamic-sql>(4),[P] <dynamic-sql>(4),[P] <dynamic-sql>(write=4/exec=4),false,,dynamic-sql(2); dynamic-object(1),ApprovalSIDModel.cs|UpdateStatusNotifNTI|ExecProc@81 x2
dotnet-sample,FLDModel.cs,CalculateTransaksiFLD,553,553,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,FLDModel.cs|CalculateTransaksiFLD|ExecProc@553 x2 (example=829e30d2ed137a41defc3a465e6c3746bc753ccf),dynamic sql x2,1,0,1,1,,[P] <dynamic-sql>(64),[P] <dynamic-sql>(64),[P] <dynamic-sql>(write=64/exec=64),false,,dynamic-object(1); dynamic-sql(1),FLDModel.cs|CalculateTransaksiFLD|ExecProc@553 x2
dotnet-sample,FLDModel.cs,CalculateTransaksiTAFLD,716,830,4,0,0,0,0,0,4,4,4,4,2,2,2,2,4,FLDModel.cs|CalculateTransaksiTAFLD|ExecProc@716 x4 (example=829e30d2ed137a41defc3a465e6c3746bc753ccf),dynamic sql x4,1,0,1,1,,[P] <dynamic-sql>(64),[P] <dynamic-sql>(64),[P] <dynamic-sql>(write=64/exec=64),false,,dynamic-object(2); dynamic-sql(1),FLDModel.cs|CalculateTransaksiTAFLD|ExecProc@716 x2; FLDModel.cs|Exception|ExecProc@830 x2
dotnet-sample,FLDModel.cs,CancelTransaksiFLD,1468,1468,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,FLDModel.cs|CancelTransaksiFLD|ExecProc@1468 x2 (example=829e30d2ed137a41defc3a465e6c3746bc753ccf),dynamic sql x2,1,0,1,1,,[P] <dynamic-sql>(64),[P] <dynamic-sql>(64),[P] <dynamic-sql>(write=64/exec=64),false,,dynamic-object(1); dynamic-sql(1),FLDModel.cs|CancelTransaksiFLD|ExecProc@1468 x2
dotnet-sample,FLDModel.cs,CekChangeMaster,2295,2295,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,FLDModel.cs|CekChangeMaster|ExecProc@2295 x1 (example=f4a677d6d1721209e3ba7ce2eb6ff7260d963b86),,1,0,1,1,,TRSCheckChangeMasterStructuredProduct(1),TRSCheckChangeMasterStructuredProduct(1),TRSCheckChangeMasterStructuredProduct(write=1/exec=1),false,,,
dotnet-sample,FLDModel.cs,CekParameterFLDCounterCcyPair,2078,2078,2,0,0,0,0,0,2,2,2,2,1,1,1,1,2,FLDModel.cs|CekParameterFLDCounterCcyPair|ExecProc@2078 x2 (example=829e30d2ed137a41defc3a465e6c3746bc753ccf),dynamic sql x2,1,0,1,1,,[P] <dynamic-sql>(64),[P] <dynamic-sql>(64),[P] <dynamic-sql>(write=64/exec=64),false,,dynamic-object(1); dynamic-sql(1),FLDModel.cs|CekParameterFLDCounterCcyPair|ExecProc@2078 x2
