AppName,RelPath,File,Func,TotalQueries,TotalExec,TotalSelect,TotalInsert,TotalUpdate,TotalDelete,TotalTruncate,TotalDynamic,TotalWrite,HasCrossDb,ObjectsUsed,LineStart,LineEnd
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,GetLastInsertedBatchId,1,1,0,0,0,0,0,0,1,false,BancaMTranAAJIAAUI_TT,487,487
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,GetNIKFromBancaNoAAJITMByAAUIANDNIK,1,0,1,0,0,0,0,0,0,false,BancaNoAAUI_TM,503,503
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,GetNIKFromBancaNoAAUITMByAAJIANDNIK,1,0,1,0,0,0,0,0,0,false,BancaNoAAJI_TM,535,535
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,GetNameAndJobTitleByNIK,1,0,1,0,0,0,0,0,0,true,PSEmployee_v,567,567
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,InsertBancaMTranAAJIAAUITT,1,1,0,0,0,0,0,0,1,false,BancaMTranAAJIAAUI_TT,607,617
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,PopulateDataFromBancaNoAAUITMAndBancaNoAAUITM,1,0,1,0,0,0,0,0,0,false,BancaNoAAJI_TM;BancaNoAAUI_TM,60,65
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,UpdateBatchCode,1,0,0,0,1,0,0,0,1,false,BancaMTranAAJIAAUI_TT,627,627
golang-sample,go3/bancaQueries_manual.sql.go,bancaQueries_manual.sql.go,<unknown-func>,2,0,0,1,1,0,0,0,2,false,BancaControlTable_TM;BancaDelete_TT,13,64
golang-sample,go3/bancaQueries_manual.sql.go,bancaQueries_manual.sql.go,GetBancaControlTableTMLastId,1,0,0,0,1,0,0,0,1,false,BancaControlTable_TM,127,127
golang-sample,go3/bancaQueries_manual.sql.go,bancaQueries_manual.sql.go,InsertDeleteTT,1,0,0,1,0,0,0,0,1,false,BancaDelete_TT,45,50
golang-sample,go3/bond_transaction_repository.go,bond_transaction_repository.go,GetSecondaryTransactionBlotter,1,0,0,1,0,0,0,0,1,true,;DATA;EACustomerFlagging_TM_v;MISOfficeInformationEODFull_v;PBCustomerFlagging_TM_v;RMMSecurityTransaction_TT;SIBSCurrencyTable_EOD;SIBSCurrencyTable_TM_v;SecurityBatchResult_TR;SecurityMaster_TM;SecurityParamLelang_TR;SecurityReplaceTrxLelang_TT;SecurityTransactionLink_TR;SecurityTransactionStatus_TM;SecurityTransaction_TR;SecurityTransaction_TT;SecurityTranscationLink_TL;SecurityTrxLelang_TT;TRSHasilRevenue_TM;TRSListTransactionSourceOfFund_TH;TRSListTransactionSourceOfFund_TT;TRSParameter_TR;TreasuryCustomer_TM;a;bl;blt;tmp;user_nisp_v,636,636
golang-sample,go3/bond_transaction_repository.go,bond_transaction_repository.go,GetSecondaryTransactionStatus,1,0,1,0,0,0,0,0,0,false,SecurityTransactionStatus_TM,38,38
golang-sample,go3/refundBillingQueries_manual.sql.go,refundBillingQueries_manual.sql.go,<unknown-func>,1,1,0,0,0,0,0,0,1,false,BA_SelectRefundBilling,12,12
golang-sample,go3/refundBillingQueries_manual.sql.go,refundBillingQueries_manual.sql.go,ExecBASelectRefundBilling,1,1,0,0,0,0,0,0,1,false,BA_SelectRefundBilling,46,46
