AppName,RelPath,File,SourceCategory,SourceKind,Line,Func,QueryHash,ObjectName,DbName,SchemaName,BaseName,IsCrossDb,IsLinkedServer,Role,DmlKind,IsWrite,IsObjectNameDynamic
dotnet-sample,clsDatabase.cs,clsDatabase.cs,code,csharp,1024,CustodyUploadProcessAuth,dcda04e6df70e9e21aeabed7325e84f3fdb04d2c,dbo.TRSCustodyUploadProcessAuth,,dbo,TRSCustodyUploadProcessAuth,false,false,exec,EXEC,true,false
dotnet-sample,clsDatabase.cs,clsDatabase.cs,code,csharp,1037,CustodyUploadValidateCutoff,cdaba66f7d5c4700094c173c26f3cbec91e03313,dbo.TRSCustodyUploadValidateCutoff,,dbo,TRSCustodyUploadValidateCutoff,false,false,exec,EXEC,true,false
dotnet-sample,clsDatabase.cs,clsDatabase.cs,code,csharp,1056,CustodyUploadCheckExisting,786f998bf8a6a2bd59ecd3fa7116822af37c4ae1,dbo.TRSCustodyUploadCheckExistingData,,dbo,TRSCustodyUploadCheckExistingData,false,false,exec,EXEC,true,false
dotnet-sample,clsDatabase.cs,clsDatabase.cs,code,csharp,1068,CustodyUploadMonitorFile,2d0e38953cc0857accfe863b2e762d5e6f2d868f,dbo.TRSCustodyMonitorFile,,dbo,TRSCustodyMonitorFile,false,false,exec,EXEC,true,false
dotnet-sample,clsDatabase.cs,clsDatabase.cs,code,csharp,1084,GetComboItem,b0440b8f0da79c67b2918e9eb3fcded6714bcaca,TRSGeneralGetComboItem,,,TRSGeneralGetComboItem,false,false,exec,EXEC,true,false
dotnet-sample,clsDatabase.cs,clsDatabase.cs,code,csharp,1091,subTRSPopulateSellerTemplate,6a867d811fffbd0f4611f26e60baf1e5c446d4b4,TRSPopulateSellerTemplate,,,TRSPopulateSellerTemplate,false,false,exec,EXEC,true,false
dotnet-sample,clsDatabase.cs,clsDatabase.cs,code,csharp,1104,subUploadDataSeller,392a2c3937153be22ff280b7a387127751a25227,TRSUploadDataSeller,,,TRSUploadDataSeller,false,false,exec,EXEC,true,false
dotnet-sample,clsDatabase.cs,clsDatabase.cs,code,csharp,1127,subTRSValidateCutOffTimeTrxEarlyRedem,efd5b2308bccbb4ff25ecad6c6d6ec6806067584,dbo.trs_ValidateCutOffTimeTrxEarlyRedem,,dbo,trs_ValidateCutOffTimeTrxEarlyRedem,false,false,exec,EXEC,true,false
dotnet-sample,clsDatabase.cs,clsDatabase.cs,code,csharp,1157,subTRSPopulateEarlyRedemAuthorization,b0672a11a5f9996ca0d5c6e93c15449531188d1e,TRSPopulateEarlyRedemAuthorization,,,TRSPopulateEarlyRedemAuthorization,false,false,exec,EXEC,true,false
dotnet-sample,clsDatabase.cs,clsDatabase.cs,code,csharp,1171,subTRSProcessEarlyRedemAuthorization,6ca923b269da5f37e760dd8512f335ccfa986bdd,TRSProcessEarlyRedemAuthorization,,,TRSProcessEarlyRedemAuthorization,false,false,exec,EXEC,true,false
dotnet-sample,clsDatabase.cs,clsDatabase.cs,code,csharp,1183,subTRSPopulateSettlementEarlyRedem,3d910daa80cc60e9cceaf202fc12a1c4965e4243,TRSPopulateSettlementEarlyRedem,,,TRSPopulateSettlementEarlyRedem,false,false,exec,EXEC,true,false
dotnet-sample,clsDatabase.cs,clsDatabase.cs,code,csharp,1194,subTRSPopulateSettlementEarlyRedemByStatus,c139834c15c6baa3e4554713f37fb2a7980be01f,TRSPopulateSettlementEarlyRedemByStatus,,,TRSPopulateSettlementEarlyRedemByStatus,false,false,exec,EXEC,true,false
dotnet-sample,clsDatabase.cs,clsDatabase.cs,code,csharp,1207,subTRSProcessSettlementEarlyRedem,6d631a74aeb3e5b8d2b3415d8382d0338e7f009d,TRSProcessSettlementEarlyRedem,,,TRSProcessSettlementEarlyRedem,false,false,exec,EXEC,true,false
dotnet-sample,clsDatabase.cs,clsDatabase.cs,code,csharp,1221,ValidateNasabahDormantSettBankBeli,cbb112a3cdd46ab603a35796f2dd66a7f52e8af9,dbo.trs_ValidateNasabahDormantSettBankBeli,,dbo,trs_ValidateNasabahDormantSettBankBeli,false,false,exec,EXEC,true,false
dotnet-sample,clsDatabase.cs,clsDatabase.cs,code,csharp,1241,subTRSPopulateSettlementTransaksiBankBeli,da35757e3767af6d60076bbb40cacbdf0d0d6173,TRSPopulateSettlementTransaksiBankBeli,,,TRSPopulateSettlementTransaksiBankBeli,false,false,exec,EXEC,true,false
