AppName,RelPath,File,SourceCategory,SourceKind,Line,Func,QueryHash,ObjectName,DbName,SchemaName,BaseName,IsCrossDb,IsLinkedServer,Role,DmlKind,IsWrite,IsObjectNameDynamic
golang-sample,go1/source.go,source.go,code,go,112,ValidateMKData,28f859d7ab79d670095b53ceb14234b366581493,[dbo].[MKValidateData],,dbo,MKValidateData,false,false,exec,EXEC,true,false
golang-sample,go2/impl.go,impl.go,code,go,26,GetCurrWorkingDate,5e2e34e6c7b66a6e103a624e2b7e66e772c61c4e,dbo.control_table,,dbo,control_table,false,false,source,SELECT,false,false
golang-sample,go2/impl.go,impl.go,code,go,30,GetCFCOUN,a9228bfc4e196770dce2c08013cd672b99697836,dbo.CFMAST,,dbo,CFMAST,false,false,source,SELECT,false,false
golang-sample,go2/impl.go,impl.go,code,go,34,GetBIRates,4c3e21fd67aec85e9073cc9adcf7b2154bed6d74,dbo.SIBSCurrencyTable_TM,,dbo,SIBSCurrencyTable_TM,false,false,source,SELECT,false,false
golang-sample,go2/impl.go,impl.go,code,go,52,GetValasMappingParameter,ce1d96c183d201de3e8187d832495f02cd90b9eb,dbo.valas_mapping_parameter,,dbo,valas_mapping_parameter,false,false,source,SELECT,false,false
golang-sample,go2/impl.go,impl.go,code,go,69,GetVlsRate,67488d36b6c27a2efc4d4445a441820d8ebf7482,dbo.VLSRate_TM,,dbo,VLSRate_TM,false,false,source,SELECT,false,false
golang-sample,go2/impl.go,impl.go,code,go,87,GetVlsTransaction,d4f170294f1cef0ff54a9695c6e8b7750e1926bf,dbo.VLSTransactions_TR,,dbo,VLSTransactions_TR,false,false,source,SELECT,false,false
golang-sample,go2/impl.go,impl.go,code,go,97,GetVlsTransaction,adeba31b807526db62239653c658a0ab5b60a392,dbo.VLSTransactionsToday_TR,,dbo,VLSTransactionsToday_TR,false,false,source,SELECT,false,false
golang-sample,go2/query.go,query.go,code,go,3,,5e2e34e6c7b66a6e103a624e2b7e66e772c61c4e,dbo.control_table,,dbo,control_table,false,false,source,SELECT,false,false
golang-sample,go2/query.go,query.go,code,go,8,,a9228bfc4e196770dce2c08013cd672b99697836,dbo.CFMAST,,dbo,CFMAST,false,false,source,SELECT,false,false
golang-sample,go2/query.go,query.go,code,go,14,,4c3e21fd67aec85e9073cc9adcf7b2154bed6d74,dbo.SIBSCurrencyTable_TM,,dbo,SIBSCurrencyTable_TM,false,false,source,SELECT,false,false
golang-sample,go2/query.go,query.go,code,go,20,,d4f170294f1cef0ff54a9695c6e8b7750e1926bf,dbo.VLSTransactions_TR,,dbo,VLSTransactions_TR,false,false,source,SELECT,false,false
golang-sample,go2/query.go,query.go,code,go,36,,adeba31b807526db62239653c658a0ab5b60a392,dbo.VLSTransactionsToday_TR,,dbo,VLSTransactionsToday_TR,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,13,,ed6f6b30f5e3fa33792f6e74777324b3a497ec21,BancaNoAAJI_TM,,,BancaNoAAJI_TM,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,13,,ed6f6b30f5e3fa33792f6e74777324b3a497ec21,BancaNoAAUI_TM,,,BancaNoAAUI_TM,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,60,PopulateDataFromBancaNoAAUITMAndBancaNoAAUITM,ed6f6b30f5e3fa33792f6e74777324b3a497ec21,BancaNoAAJI_TM,,,BancaNoAAJI_TM,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,60,PopulateDataFromBancaNoAAUITMAndBancaNoAAUITM,ed6f6b30f5e3fa33792f6e74777324b3a497ec21,BancaNoAAUI_TM,,,BancaNoAAUI_TM,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,97,,982f032c438801a2a2472bb95b27fc058f073069,BancaNoAAJI_TM,,,BancaNoAAJI_TM,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,97,,982f032c438801a2a2472bb95b27fc058f073069,BancaNoAAUI_TM,,,BancaNoAAUI_TM,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,123,GetDataFromAAJITM,982f032c438801a2a2472bb95b27fc058f073069,BancaNoAAJI_TM,,,BancaNoAAJI_TM,false,false,source,SELECT,false,false
golang-sample,go3/aajiQueries.sql.go,aajiQueries.sql.go,code,go,123,GetDataFromAAJITM,982f032c438801a2a2472bb95b27fc058f073069,BancaNoAAUI_TM,,,BancaNoAAUI_TM,false,false,source,SELECT,false,false
